country code,postal code,state,statecode,latitude,longitude,Country
US,99802,Alaska,AK,58.3019,-134.4197,United States
US,99803,Alaska,AK,58.3019,-134.4197,United States
US,99811,Alaska,AK,58.3019,-134.4197,United States
US,99812,Alaska,AK,58.3271,-134.4742,United States
US,99821,Alaska,AK,58.4494,-134.7003,United States
US,99824,Alaska,AK,58.2756,-134.395,United States
US,99850,Alaska,AK,58.3019,-134.4197,United States
US,99556,Alaska,AK,59.8371,-151.7078,United States
US,99568,Alaska,AK,60.2311,-151.3936,United States
US,99572,Alaska,AK,60.4767,-149.8235,United States
US,99603,Alaska,AK,59.5374,-151.2356,United States
US,99605,Alaska,AK,60.8726,-149.4683,United States
US,99610,Alaska,AK,60.3164,-151.2896,United States
US,99611,Alaska,AK,60.6145,-151.2546,United States
US,99631,Alaska,AK,60.6148,-149.4056,United States
US,99635,Alaska,AK,60.7007,-151.2766,United States
US,99639,Alaska,AK,60.0108,-151.6396,United States
US,99663,Alaska,AK,59.4495,-151.7009,United States
US,99664,Alaska,AK,60.1329,-149.3985,United States
US,99669,Alaska,AK,60.4818,-151.1358,United States
US,99672,Alaska,AK,60.5136,-150.8532,United States
US,99682,Alaska,AK,61.0681,-151.1369,United States
US,99901,Alaska,AK,55.372,-131.6832,United States
US,99928,Alaska,AK,55.3954,-131.6754,United States
US,99950,Alaska,AK,55.3422,-131.6478,United States
US,99550,Alaska,AK,57.8675,-152.8822,United States
US,99608,Alaska,AK,57.5689,-154.4551,United States
US,99615,Alaska,AK,57.6036,-153.3751,United States
US,99619,Alaska,AK,57.79,-152.4072,United States
US,99624,Alaska,AK,57.54,-153.9786,United States
US,99643,Alaska,AK,57.2028,-153.3039,United States
US,99644,Alaska,AK,57.9236,-152.5022,United States
US,99697,Alaska,AK,57.79,-152.4072,United States
US,99554,Alaska,AK,62.6944,-164.6475,United States
US,99563,Alaska,AK,61.529,-165.5905,United States
US,99581,Alaska,AK,62.7818,-164.5335,United States
US,99585,Alaska,AK,61.9287,-162.268,United States
US,99604,Alaska,AK,61.527,-166.1151,United States
US,99620,Alaska,AK,63.0295,-163.5542,United States
US,99632,Alaska,AK,62.1123,-163.6644,United States
US,99650,Alaska,AK,61.9462,-162.8747,United States
US,99657,Alaska,AK,61.7744,-161.3939,United States
US,99658,Alaska,AK,62.1172,-163.2376,United States
US,99662,Alaska,AK,61.845,-165.5819,United States
US,99666,Alaska,AK,62.5309,-164.8496,United States
US,99548,Alaska,AK,56.2448,-158.7578,United States
US,99549,Alaska,AK,56.9643,-158.5664,United States
US,99564,Alaska,AK,56.3016,-158.4157,United States
US,99565,Alaska,AK,58.2687,-156.6484,United States
US,99579,Alaska,AK,58.2062,-157.3422,United States
US,99606,Alaska,AK,59.7525,-154.8236,United States
US,99625,Alaska,AK,59.2905,-156.6503,United States
US,99640,Alaska,AK,59.9736,-154.8458,United States
US,99647,Alaska,AK,59.8681,-154.0757,United States
US,99648,Alaska,AK,55.9453,-159.2593,United States
US,99649,Alaska,AK,57.5642,-157.5792,United States
US,99653,Alaska,AK,60.2025,-154.3128,United States
US,99623,Alaska,AK,61.5463,-149.5901,United States
US,99629,Alaska,AK,61.5841,-149.4436,United States
US,99645,Alaska,AK,61.6303,-148.9872,United States
US,99652,Alaska,AK,61.5214,-149.9544,United States
US,99654,Alaska,AK,61.5923,-149.3959,United States
US,99667,Alaska,AK,61.9903,-151.3978,United States
US,99674,Alaska,AK,61.7327,-148.7837,United States
US,99676,Alaska,AK,62.2605,-150.1101,United States
US,99683,Alaska,AK,62.3167,-150.2314,United States
US,99687,Alaska,AK,61.5313,-149.4784,United States
US,99688,Alaska,AK,61.8966,-150.0038,United States
US,99694,Alaska,AK,61.6303,-149.8181,United States
US,99659,Alaska,AK,63.4776,-162.1091,United States
US,99671,Alaska,AK,63.5222,-162.2881,United States
US,99684,Alaska,AK,63.8835,-160.7884,United States
US,99739,Alaska,AK,64.6217,-162.2604,United States
US,99742,Alaska,AK,63.7766,-171.7017,United States
US,99753,Alaska,AK,64.9319,-161.1569,United States
US,99762,Alaska,AK,64.5011,-165.4064,United States
US,99769,Alaska,AK,63.6797,-170.4709,United States
US,99771,Alaska,AK,64.3537,-161.1932,United States
US,99772,Alaska,AK,66.2306,-166.1373,United States
US,99778,Alaska,AK,65.2402,-166.3833,United States
US,99783,Alaska,AK,65.6092,-168.0875,United States
US,99784,Alaska,AK,64.6814,-163.4056,United States
US,99785,Alaska,AK,65.3342,-166.4786,United States
US,99721,Alaska,AK,68.1433,-151.7358,United States
US,99723,Alaska,AK,71.2346,-156.8174,United States
US,99734,Alaska,AK,70.2922,-148.6694,United States
US,99747,Alaska,AK,70.1319,-143.6239,United States
US,99759,Alaska,AK,69.7439,-163.0084,United States
US,99766,Alaska,AK,68.3486,-166.7347,United States
US,99782,Alaska,AK,70.6369,-160.0383,United States
US,99789,Alaska,AK,70.1927,-150.9971,United States
US,99791,Alaska,AK,70.4947,-157.4411,United States
US,99727,Alaska,AK,65.9789,-161.1262,United States
US,99736,Alaska,AK,66.0737,-162.714,United States
US,99749,Alaska,AK,66.975,-160.4228,United States
US,99750,Alaska,AK,67.7269,-164.5333,United States
US,99751,Alaska,AK,66.9072,-156.8811,United States
US,99752,Alaska,AK,66.8985,-162.5981,United States
US,99761,Alaska,AK,67.5711,-162.9653,United States
US,99763,Alaska,AK,66.8364,-161.0441,United States
US,99770,Alaska,AK,66.6039,-160.0069,United States
US,99773,Alaska,AK,66.8881,-157.1364,United States
US,99786,Alaska,AK,67.0861,-157.8514,United States
US,99903,Alaska,AK,55.7408,-132.2564,United States
US,99918,Alaska,AK,55.9524,-132.7503,United States
US,99919,Alaska,AK,55.6609,-132.5138,United States
US,99921,Alaska,AK,55.4732,-133.1171,United States
US,99922,Alaska,AK,55.2087,-132.8259,United States
US,99923,Alaska,AK,55.9169,-130.0247,United States
US,99925,Alaska,AK,55.5526,-133.0555,United States
US,99926,Alaska,AK,55.1215,-131.579,United States
US,99927,Alaska,AK,56.3528,-133.6211,United States
US,99835,Alaska,AK,57.0514,-135.3166,United States
US,99689,Alaska,AK,59.812,-139.5505,United States
US,99820,Alaska,AK,57.5005,-134.586,United States
US,99825,Alaska,AK,58.1944,-136.3433,United States
US,99826,Alaska,AK,58.4284,-135.7615,United States
US,99829,Alaska,AK,58.0977,-135.4316,United States
US,99832,Alaska,AK,57.9608,-136.2275,United States
US,99840,Alaska,AK,59.4685,-135.3018,United States
US,99841,Alaska,AK,57.7808,-135.2189,United States
US,99731,Alaska,AK,63.952,-146.451,United States
US,99732,Alaska,AK,64.0733,-141.9361,United States
US,99737,Alaska,AK,64.0378,-145.7322,United States
US,99738,Alaska,AK,64.7881,-141.2,United States
US,99764,Alaska,AK,62.9617,-141.9372,United States
US,99776,Alaska,AK,63.3853,-143.3464,United States
US,99780,Alaska,AK,63.3367,-142.9856,United States
US,99566,Alaska,AK,61.5156,-144.4396,United States
US,99573,Alaska,AK,61.977,-145.3297,United States
US,99574,Alaska,AK,60.5362,-145.7534,United States
US,99586,Alaska,AK,62.3014,-145.3027,United States
US,99588,Alaska,AK,62.1039,-145.6617,United States
US,99677,Alaska,AK,60.8906,-146.6703,United States
US,99686,Alaska,AK,61.101,-146.9,United States
US,99693,Alaska,AK,60.7734,-148.6839,United States
US,99830,Alaska,AK,56.9736,-133.936,United States
US,99833,Alaska,AK,56.8271,-133.1607,United States
US,99836,Alaska,AK,56.2497,-134.6444,United States
US,99929,Alaska,AK,56.4335,-132.3529,United States
US,99558,Alaska,AK,62.6561,-160.2067,United States
US,99590,Alaska,AK,62.9036,-160.0647,United States
US,99602,Alaska,AK,62.1926,-159.8251,United States
US,99627,Alaska,AK,62.9457,-155.5712,United States
US,99665,Alaska,AK,62.6822,-159.5619,United States
US,99675,Alaska,AK,62.9886,-156.0642,United States
US,99691,Alaska,AK,63.0133,-154.375,United States
US,99720,Alaska,AK,66.5656,-152.6456,United States
US,99722,Alaska,AK,68.1269,-145.5378,United States
US,99724,Alaska,AK,66.3594,-147.3964,United States
US,99726,Alaska,AK,65.2264,-151.0251,United States
US,99730,Alaska,AK,65.4681,-144.7489,United States
US,99733,Alaska,AK,65.8245,-144.0826,United States
US,99740,Alaska,AK,66.5647,-145.2739,United States
US,99741,Alaska,AK,64.7333,-156.9275,United States
US,99745,Alaska,AK,66.0382,-154.2644,United States
US,99746,Alaska,AK,65.6899,-156.292,United States
US,99748,Alaska,AK,64.3305,-158.7243,United States
US,99754,Alaska,AK,64.8803,-157.7008,United States
US,99756,Alaska,AK,65.0011,-150.6339,United States
US,99757,Alaska,AK,63.8828,-152.3122,United States
US,99758,Alaska,AK,65.0584,-149.6912,United States
US,99760,Alaska,AK,64.5577,-149.0867,United States
US,99765,Alaska,AK,64.7194,-158.1031,United States
US,99767,Alaska,AK,65.509,-150.1619,United States
US,99768,Alaska,AK,64.7201,-155.5039,United States
US,99774,Alaska,AK,66.0064,-149.0908,United States
US,99777,Alaska,AK,65.1719,-152.0789,United States
US,99781,Alaska,AK,67.0104,-146.4137,United States
US,99788,Alaska,AK,66.6544,-143.7222,United States
US,36003,Alabama,AL,32.4625,-86.7149,United States
US,36006,Alabama,AL,32.6596,-86.7178,United States
US,36008,Alabama,AL,32.5016,-86.5727,United States
US,36051,Alabama,AL,32.6841,-86.4946,United States
US,36066,Alabama,AL,32.4787,-86.43,United States
US,36067,Alabama,AL,32.4715,-86.4831,United States
US,36068,Alabama,AL,32.464,-86.4597,United States
US,36749,Alabama,AL,32.5104,-86.8138,United States
US,36507,Alabama,AL,30.8635,-87.7644,United States
US,36511,Alabama,AL,30.3128,-87.7431,United States
US,36526,Alabama,AL,30.6197,-87.8895,United States
US,36527,Alabama,AL,30.6959,-87.8867,United States
US,36530,Alabama,AL,30.3942,-87.589,United States
US,36532,Alabama,AL,30.5012,-87.8835,United States
US,36533,Alabama,AL,30.4841,-87.8606,United States
US,36535,Alabama,AL,30.4007,-87.6857,United States
US,36536,Alabama,AL,30.4222,-87.7064,United States
US,36542,Alabama,AL,30.2717,-87.7589,United States
US,36547,Alabama,AL,30.246,-87.7008,United States
US,36549,Alabama,AL,30.3972,-87.4745,United States
US,36550,Alabama,AL,31.2246,-87.7548,United States
US,36551,Alabama,AL,30.618,-87.7562,United States
US,36555,Alabama,AL,30.3996,-87.7761,United States
US,36559,Alabama,AL,30.5623,-87.9005,United States
US,36561,Alabama,AL,30.281,-87.5815,United States
US,36562,Alabama,AL,31.0403,-87.6667,United States
US,36564,Alabama,AL,30.4741,-87.9192,United States
US,36567,Alabama,AL,30.5616,-87.6373,United States
US,36574,Alabama,AL,30.5048,-87.4659,United States
US,36576,Alabama,AL,30.5222,-87.7457,United States
US,36577,Alabama,AL,30.6749,-87.9153,United States
US,36578,Alabama,AL,30.7476,-87.7787,United States
US,36579,Alabama,AL,31.0129,-87.8633,United States
US,36580,Alabama,AL,30.4752,-87.6992,United States
US,36016,Alabama,AL,31.8874,-85.4509,United States
US,36017,Alabama,AL,31.6852,-85.5904,United States
US,36027,Alabama,AL,31.9051,-85.1656,United States
US,36048,Alabama,AL,31.7943,-85.5581,United States
US,36072,Alabama,AL,31.8913,-85.1455,United States
US,35034,Alabama,AL,32.9357,-87.2114,United States
US,35035,Alabama,AL,33.0427,-86.9517,United States
US,35042,Alabama,AL,32.9503,-87.1192,United States
US,35074,Alabama,AL,33.2251,-87.1264,United States
US,35184,Alabama,AL,33.1424,-87.1369,United States
US,35188,Alabama,AL,33.2068,-87.15,United States
US,36792,Alabama,AL,32.8888,-86.907,United States
US,36793,Alabama,AL,32.8646,-86.9567,United States
US,35013,Alabama,AL,33.9222,-86.4493,United States
US,35031,Alabama,AL,34.0929,-86.5686,United States
US,35049,Alabama,AL,33.9778,-86.5598,United States
US,35079,Alabama,AL,33.9534,-86.7455,United States
US,35097,Alabama,AL,33.905,-86.6261,United States
US,35121,Alabama,AL,33.9259,-86.4741,United States
US,35133,Alabama,AL,33.8168,-86.6008,United States
US,36029,Alabama,AL,32.2165,-85.8888,United States
US,36053,Alabama,AL,32.0955,-85.5315,United States
US,36061,Alabama,AL,32.0928,-85.7046,United States
US,36089,Alabama,AL,32.1443,-85.7149,United States
US,36015,Alabama,AL,31.6427,-86.7343,United States
US,36030,Alabama,AL,31.8501,-86.8372,United States
US,36033,Alabama,AL,31.6287,-86.734,United States
US,36037,Alabama,AL,31.81,-86.6229,United States
US,36456,Alabama,AL,31.545,-86.7356,United States
US,36201,Alabama,AL,33.6539,-85.8382,United States
